Rewardlist,ButtonData,Zposition(Inches),Zposition(mm)
0.34068766165375663,0,11.235965015327931,285.39351138932943
0.1942525808751583,0,11.37956887395084,289.04104939835133
0.1011331796467303,0,11.473326561483741,291.42249466168704
0.15271586494743872,0,11.420093014362454,290.0703625648063
0.19604658778607842,0,11.377408791071177,288.9861832932079
0.35587746771574125,0,11.219103227677941,284.96522198301966
0.14842033891677886,0,11.425723779022693,290.21338398717637
0.2474849546760325,0,11.326841027927399,287.7017621093559
0.1464620671480894,0,11.42502330673635,290.19559199110324
0.15161881036162406,0,11.423183540329337,290.1488619243651
0.2778563535571106,0,11.297578416836261,286.95849178764104
0.23235029467344148,0,11.342755946004392,288.1060010285115
0.34893375751376077,0,11.224883004030586,285.11202830237687
0.10327214275896601,0,11.472018309223651,291.3892650542807
0.1966074349433189,0,11.376316429767012,288.9584373160821
0.1515049982815988,0,11.420416850796341,290.07858801022707
0.19408362273573943,0,11.381277228471637,289.0844416031796
0.05318778762519294,0,11.518884246465564,292.5796598602253
0.12040848738551091,0,11.453003478616477,290.9062883568585
0,0,11.380179000565409,289.05654661436137
0.28538085736334295,0,11.288677608186006,286.7324112479245
0,0,11.395103636214138,289.4356323598391
0,0,11.518920619398356,292.58058373271825
0.10360184579491616,0,11.470714750245214,291.35615465622845
0.16262807579338556,0,11.40974080836177,289.8074165323889
0,0,11.41752696262002,290.00518485054846
0.05270203297436282,0,11.52243940731585,292.6699609458226
0,0,11.459504847022892,291.07142311438145
0,0,11.422237844076752,290.1248412395495
0,0,11.499998481103779,292.099961420036
0.0979828143388044,0,11.476493353277444,291.5029311732471
0.1403983472555872,0,11.435107995682955,290.45174309034707
0.24831097224652865,0,11.323697702541947,287.6219216445655
0.2830600295871495,0,11.290164205148816,286.7701708107799
0.467161042252183,0,11.107821999782324,282.138678794471
0.24976471623778274,0,11.323419625604153,287.61485849034545
0.21042328280210398,0,11.365587587913872,288.6859247330123
0.21737168628573578,0,11.356273770478367,288.44935377015054
0.4013624068319803,0,11.174573371377587,283.8341636329907
0.19170882222056385,0,11.383025475886464,289.1288470875162
0.3983633998572831,0,11.175689199090003,283.86250565688607
0.21054882808625663,0,11.363033269375563,288.6210450421393
1,1,10.995027188554406,279.2736905892819
0.4247372960925109,0,11.149636792647838,283.20077453325507
0.29284200186729414,0,11.283805981832742,286.60867193855165
0.3381122233480216,0,11.23713950906098,285.4233435301488
0.3506350721120839,0,11.22485836430192,285.11140245326874
0.18087790149152205,0,11.392257160893083,289.3633318866843
0,0,11.195305943068862,284.36077095394904
0.45316098308861363,0,11.121653100806475,282.48998876048444
0.1689123799234622,0,11.405778505328298,289.70677403533875
0.08262522345781242,0,11.49126076399088,291.8780234053683
0.32402651179432773,0,11.246879241806269,285.6707327418792
0.18039684012234325,0,11.393961995452642,289.4066346844971
0.23203701812326827,0,11.343321486443282,288.12036575565935
0.36885439147949306,0,11.204361630013585,284.59078540234503
0.1506801540315159,0,11.425399942588806,290.2051585417556
1,1,11.00501331858635,279.5273382920933
1,1,11.026215218442678,280.065866548444
1,1,11.013682983115316,279.747547771129
1,1,11.020671279492975,279.92505049912154
1,1,11.0161516492635,279.8102518912929
0.373632152199745,0,11.198283830276132,284.43640928901374
1,1,11.008340855276584,279.61185772402524
0.4509187677800668,0,11.122690316051244,282.5163340277016
0,0,11.321859109455348,287.57522138016583
0.23572828414142144,0,11.33829498179555,287.99269253760696
0.17878469787538087,0,11.396544473680853,289.47222963149363
1,1,11.009441429823637,279.63981231752035
1,1,11.009690173751116,279.64613041327834
1,1,11.00603293402493,279.55323652423317
1,1,11.018885485824942,279.8796913399535
1,1,10.996327227571607,279.3067115803188
1,1,10.996207548889519,279.3036717417938
1,1,11.00407466225624,279.5034964213085
1,1,11.02497384544611,280.0343356743312
1,1,11.001868819880485,279.44746802496434
1,1,10.999265221884848,279.38133663587513
1,1,11.0232737041682,279.9911520858723
1,1,11.004816200757027,279.52233149922847
1,1,10.999515139132738,279.38768453397154
1,1,11.008636532020569,279.61936791332244
1,1,11.024891713017226,280.03224951063754
1,1,11.002807476210595,279.47130989574913
1,1,11.010950319874286,279.6781381248069
1,1,10.996430479767918,279.3093341861051
1,1,11.01724635720849,279.83805747309566
1,1,11.023753592216968,280.00334124231097
1,1,11.017436435115338,279.84288545192953
1,1,11.012135373491049,279.7082384866726
1,1,10.99443700838685,279.258700013026
1,1,11.006511648753285,279.56539587833345
1,1,10.996381200310589,279.30808248788895
1,1,11.02588199544549,280.05740268431543
0.47944101369082937,0,11.09255592789352,281.75092056849536
0.4165756793022144,0,11.157882888507844,283.41022536809925
1,1,11.023186878457667,279.9889467128247
1,1,11.002029564777017,279.4515509453362
1,1,11.024010549387336,280.00986795443833
1,1,11.008649438545108,279.6196957390457
1,1,11.010829467871785,279.67506848394333
1,1,11.022175476261973,279.9632570970541
1,1,11.014772997778655,279.77523414357785
1,1,11.023518928134441,279.9973807746148
0.26377416196465475,0,11.30967652361095,287.2657836997181
1,1,11.014642759212851,279.7719260840064
1,1,11.004641376015543,279.51789095079477
0.4774850885629647,0,11.094017885127665,281.7880542822427
1,1,11.016197408759593,279.81141418249365
1,1,11.023463782075048,279.9959800647062
0.4610621227473022,0,11.112349843254686,282.253686018669
1,1,11.024588996350765,280.0245605073094
1,1,11.021961931946874,279.9578330714506
1,1,11.006956337189674,279.5766909646177
1,1,11.021182847192884,279.93804431869927
1,1,10.994973215815426,279.2723196817118
1,1,11.013314560505748,279.738189836846
1,1,11.014484360957146,279.7679027683115
1,1,11.010175928401948,279.65846858140947
1,1,11.027558670315146,280.0999902260047
1,1,11.02372777916789,280.0026855908644
1,1,11.01825189280212,279.86359807717383
1,1,11.02610492632389,280.0630651286268
0,0,11.350814310598373,288.31068348919865
1,1,10.987996652641893,279.09511497710406
1,1,10.992207699602842,279.20207556991215
1,1,10.996913887777925,279.3216127495593
1,1,10.993178035584092,279.2267221038359
1,1,11.012970777624846,279.7294577516711
1,1,11.003576001080871,279.4908304274541
1,1,11.006079866841436,279.55442861777243
1,1,11.005523712965847,279.5403023093325
1,1,11.012043854498863,279.7059139042711
1,1,11.001404184997082,279.43566629892587
1,1,10.99567486142218,279.2901414801234
1,1,11.003701546365022,279.49401927767155
1,1,11.025582798740269,280.0498030880028
1,1,10.994684578993917,279.2649883064455
1,1,11.01058189726472,279.6687801905239
1,1,11.021115967929363,279.93634558540583
1,1,11.003957330214977,279.5005161874604
