Rewardlist,ButtonData,Zposition(Inches),Zposition(mm)
-1.8736028852283955,0,11.441568297874928,290.61583476602317
2,1,11.005438060575724,279.53812673862336
2,1,11.013144429045916,279.73386849776625
2,1,11.017813070967794,279.85245200258197
2,1,11.041014308807254,280.44176344370425
2,1,11.012827632534504,279.7258218663764
2,1,11.007018523171544,279.5782704885572
2,1,10.996932660904527,279.322089586975
2,1,10.998582349404693,279.3639916748792
2,1,11.024485744154454,280.02193790152313
2,1,11.024826007074118,280.0305805796826
2,1,11.026145992538334,280.06410821047365
2,1,11.012691527366638,279.7223647951126
-1.5222028082072736,0,11.091338021305203,281.71998574115213
2,1,11.007923153209687,279.60124809152603
2,1,11.01743760843575,279.84291525426806
2,1,11.009839185443521,279.64991531026544
2,1,11.020191391444206,279.9128613426828
2,1,11.010692189383507,279.67158161034104
2,1,11.022581445124745,279.9735687061685
2,1,11.009870865094662,279.6507199734044
2,1,10.991527173763513,279.1847902135932
2,1,10.995069428089261,279.2747634734672
2,1,11.011163864189387,279.6835621504104
-1.5447317334502948,0,11.113876333111525,282.29245886103274
2,1,11.008688158118725,279.6206792162156
2,1,11.000776458576322,279.41972204783855
2,1,11.004880733379721,279.5239706278449
2,1,11.021499643704296,279.9460909500891
2,1,11.021587642735243,279.94832612547515
2,1,11.023889697384835,280.0067983135748
2,1,10.999566765230893,279.3889958368647
2,1,11.000092412775755,279.4023472845042
2,1,11.001476930862665,279.4375140439117
2,1,11.00313952588737,279.4797439575392
-1.5314368398547167,0,11.100324482345581,281.94824185157773
2,1,11.019506172323227,279.89545677700994
2,1,11.022012384724617,279.95911457200526
2,1,11.022846615538,279.9803040346652
2,1,11.017383635696769,279.8415443466979
2,1,11.005790056699515,279.54706744016767
2,1,11.005046171557904,279.52817275757076
2,1,11.018948845127225,279.8813006662315
-1.5472954385519024,0,11.116117375099659,282.3493813275313
2,1,11.014661532339455,279.77240292142216
2,1,11.00024611774981,279.40625139084517
2,1,11.00365109358728,279.4927377771169
2,1,11.001302106121182,279.433073495478
2,1,10.999594924920798,279.38971109298825
2,1,11.00309493971169,279.47861146867695
2,1,11.00060632711649,279.41540070875885
2,1,10.999875348499417,279.39683385188516
-1.4667669386714692,0,11.036221294921637,280.32002089100956
2,1,11.007303640031814,279.5855124568081
2,1,11.008777330470085,279.62294419394016
-1.4511054578036067,0,11.02139052490592,279.9433193326104
2,1,11.022820802488923,279.9796483832186
2,1,10.989679194113613,279.13785153048576
2,1,11.019558971741796,279.89679788224163
2,1,11.024845953521133,280.03108721943676
2,1,11.004376205602288,279.5111556222981
2,1,10.99831835231185,279.35728614872096
2,1,11.01375220901966,279.74930610909934
2,1,11.000798751664162,279.4202882922697
-1.543303802508115,0,11.112266537505388,282.25157005263685
2,1,11.013329813671112,279.7385772672462
2,1,10.99984484216869,279.3960589910847
2,1,10.999375514003635,279.3841380556923
2,1,11.000301263809204,279.40765210075375
2,1,11.008201230147481,279.608311245746
2,1,10.995850859484078,279.2946118308956
2,1,11.01896879157424,279.88180730598566
2,1,11.024596036273241,280.0247393213403
2,1,11.03176267735362,280.20677200478195
2,1,10.997683585968614,279.3411630836028
2,1,10.990703502833844,279.16386897197964
2,1,11.00965614745915,279.6452661454624
2,1,10.99616413603425,279.30256905526994
2,1,10.99522430638373,279.27869738214673
2,1,11.005936721751095,279.55079273247776
-1.4964906646847727,0,11.064172133791446,281.02997219830274
-1.468300468450785,0,11.036392599701882,280.3243720324278
-1.5154585624754429,0,11.08491291872561,281.5567881356305
2,1,11.017732111859322,279.8503956412268
2,1,10.999420100179314,279.38527054455454
2,1,10.997163805025815,279.3279606476557
2,1,10.987330206647515,279.07818724884686
2,1,11.007877393713594,279.60008580032525
2,1,10.99814939417243,279.3529946119797
2,1,10.996761356124281,279.31773844555676
2,1,11.008621278855205,279.6189804829222
2,1,10.995393264523148,279.28298891888795
2,1,11.00905071412623,279.6298881388062
2,1,11.0031794187814,279.48075723704756
2,1,11.02020195132792,279.91312956372917
2,1,11.010638216644526,279.67021070277093
2,1,11.014248523554206,279.76191249827684
2,1,11.029330384138227,280.144991757111
2,1,11.023523621416093,279.99749998396874
-1.5224304323673241,0,11.091491726279259,281.7238898474931
2,1,10.987894573765994,279.0925221736562
2,1,11.01480233078897,279.7759792020398
2,1,11.02185750643015,279.9551806633258
2,1,10.991604612910749,279.186757167933
2,1,11.007655636155606,279.5944531583524
2,1,10.997075805994868,279.32572547226965
2,1,10.999172529572249,279.3789822511351
