Rewardlist,,ButtonData,Zposition(Inches),Zposition(mm),
0.340687661653757,0.340687661653757,0,11.2359650153279,285.393511389329,285.393511389329
0.194252580875158,0.267470121264457,0,11.3795688739508,289.041049398351,287.21728039384
0.10113317964673,0.212024474058548,0,11.4733265614837,291.422494661687,288.619018483123
0.152715864947439,0.197197321780771,0,11.4200930143625,290.070362564806,288.981854503544
0.196046587786078,0.196967174981832,0,11.3774087910712,288.986183293208,288.982720261476
0.355877467715741,0.223452223770817,0,11.2191032276779,284.96522198302,288.313137215067
0.148420338916779,0.212733383077383,0,11.4257237790227,290.213383987176,288.584601039654
0.247484954676032,0.217077329527214,0,11.3268410279274,287.701762109356,288.474246173367
0.146462067148089,0.209231189262867,0,11.4250233067364,290.195591991103,288.665506819782
0.151618810361624,0.203469951372743,0,11.4231835403293,290.148861924365,288.81384233024
0.277856353557111,0.210232351571322,0,11.2975784168363,286.958491787641,288.645174099095
0.232350294673441,0.212075513496498,0,11.3427559460044,288.106001028512,288.60024300988
0.348933757513761,0.222603070728595,0,11.2248830040306,285.112028302377,288.33191880161
0.103272142758966,0.214079433016479,0,11.4720183092237,291.389265054281,288.550300676801
0.196607434943319,0.212914633144935,0,11.376316429767,288.958437316082,288.577509786086
0.151504998281599,0.209076530965977,0,11.4204168507963,290.078588010227,288.671327175095
0.194083622735739,0.208194595187727,0,11.3812772284716,289.08444160318,288.695628023806
0.053187787625193,0.199583105878698,0,11.5188842464656,292.579659860225,288.911407570274
0.120408487385511,0.195416020694846,0,11.4530034786165,290.906288356858,289.016401295883
0,0.185645219660103,0,11.3801790005654,289.056546614361,289.018408561807
0.285380857363343,0.19039453574121,0,11.288677608186,286.732411247924,288.909551546861
0,0.181740238662064,0,11.3951036362141,289.435632359839,288.933464311087
0,0.173838489155018,0,11.5189206193984,292.580583732718,289.092034720723
0.103601845794916,0.170911962348347,0,11.4707147502452,291.356154656228,289.186373051369
0.162628075793386,0.170580606886149,0,11.4097408083618,289.807416532389,289.21121479061
0,0.164019814313604,0,11.41752696262,290.005184850548,289.241752100607
0.052702032974363,0.159896933523262,0,11.5224394073159,292.669960945823,289.368722798578
0,0.154186328754574,0,11.4595048470229,291.071423114381,289.429533524143
0,0.14886955879752,0,11.4222378440768,290.124841239549,289.45350965226
0,0.143907240170936,0,11.4999984811038,292.099961420036,289.541724711186
0.097982814338804,0.142425807079577,0,11.4764933532774,291.502931173247,289.604989435769
0.140398347255587,0.142362448960077,0,11.435107995683,290.451743090347,289.631450487474
0.248310972246529,0.145573010271788,0,11.3236977025419,287.621921644565,289.570555674053
0.283060029587149,0.149616746134004,0,11.2901642051488,286.77017081078,289.488191413368
0.467161042252183,0.158689440308809,0,11.1078219997823,282.138678794471,289.278205338543
0.249764716237783,0.161219309084614,0,11.3234196256042,287.614858490345,289.232001259426
0.210423282802104,0.162549146212114,0,11.3655875879139,288.685924733012,289.217242434388
0.217371686285736,0.163991844635104,0,11.3562737704784,288.449353770151,289.197034837961
0.40136240683198,0.170078269306819,0,11.1745733713776,283.834163632991,289.059525319884
0.191708822220564,0.170619033129662,0,11.3830254758865,289.128847087516,289.061258364075
0.398363399857283,0.176173773781556,0,11.17568919909,283.862505656886,288.934459517558
0.210548828086257,0.176992227455477,0,11.3630332693756,288.621045042139,288.926997268144
1,0.196131943096047,1,10.9950271885544,279.273690589282,288.702501763984
0.424737296092511,0.201327519300512,0,11.1496367926478,283.200774533255,288.57746250874
0.292842001867294,0.203361174468663,0,11.2838059818327,286.608671938552,288.533711607181
0.338112223348022,0.206290545096475,0,11.237139509061,285.423343530149,288.466094909854
0.350635072112084,0.209361705245743,0,11.2248583643019,285.111402453269,288.394718474607
0.180877901491522,0.208768292667531,0,11.3922571608931,289.363331886684,288.414897920692
0,0.204507715266152,0,11.1953059430689,284.360770953949,288.332160635657
0.453160983088614,0.209480780622602,0,11.1216531008065,282.489988760484,288.215317198153
0.168912379923462,0.206045274987996,0,11.4057785053283,289.706774035339,288.301582451073
0.082625223457813,0.203812727839649,0,11.4912607639909,291.878023405368,288.358321931214
0.324026511794328,0.208270594482601,0,11.2468792418063,285.670732741879,288.243286692818
0.180396840122343,0.208824213986099,0,11.3939619954526,289.406634684497,288.230012135211
0.232037018123268,0.209544022592843,0,11.3433214864433,288.120365755659,288.21269578446
0.368854391479493,0.209803561068118,0,11.2043616300136,284.590785402345,288.205207052847
0.150680154031516,0.209848757370412,0,11.4253999425888,290.205158541756,288.205042543939
1,0.224899058276892,1,11.0050133185864,279.527338292093,288.041554067593
1,0.24196981693393,1,11.0262152184427,280.065866548444,287.83895955874
1,0.258937440726697,1,11.0136829831153,279.747547771129,287.630933275675
1,0.273380313655555,1,11.020671279493,279.925050499122,287.490264449905
1,0.288733307762086,1,11.0161516492635,279.810251891293,287.324349467161
0.373632152199745,0.289227275655806,0,11.1982838302761,284.436409289014,287.310837086893
1,0.307161832800627,1,11.0083408552766,279.611857724025,287.075288940288
0.450918767780067,0.312248059457362,0,11.1226903160512,282.516334027702,286.946446874521
0,0.30921795949173,0,11.3218591094553,287.575221380166,286.896379541919
0.235728284141421,0.310050852719843,0,11.3382949817956,287.992692537607,286.874544560608
0.178784697875381,0.312562790924847,0,11.3965444736809,289.472229631494,286.812395956033
1,0.330154621177137,1,11.0094414298236,279.63981231752,286.587066435247
1,0.350154621177137,1,11.0096901737511,279.646130413278,286.398858111225
1,0.36444700402987,1,11.0060329340249,279.553236524233,286.255274616751
1,0.38444700402987,1,11.0188854858249,279.879691339954,286.064155796353
1,0.40444700402987,1,10.9963272275716,279.306711580319,285.798678353305
1,0.422374967113972,1,10.9962075488895,279.303671741794,285.557628695017
1,0.439122405598104,1,11.0040746622562,279.503496421309,285.351550292795
1,0.459122405598104,1,11.0249738454461,280.034335674331,285.152133309271
1,0.478068364938617,1,11.0018688198805,279.447468024964,284.887683450853
1,0.498068364938617,1,10.9992652218848,279.381336635875,284.653881721283
1,0.518068364938617,1,11.0232737041682,279.991152085872,284.45120793821
1,0.538068364938617,1,11.004816200757,279.522331499228,284.199655339794
1,0.556108708651841,1,10.9995151391327,279.387684533972,283.957350407008
1,0.573300741706729,1,11.0086365320206,279.619367913322,283.740702903468
1,0.588334522261798,1,11.0248917130172,280.032249510638,283.588909460789
1,0.602673321670055,1,11.0028074762106,279.471309895749,283.442932242489
1,0.613330100825012,1,11.0109503198743,279.678138124807,283.393721429095
1,0.628334806500256,1,10.9964304797679,279.309334186105,283.22761094301
1,0.644126340844214,1,11.0172463572085,279.838057473096,283.050653597812
1,0.659778907118499,1,11.023753592217,280.003341242311,282.881733347255
1,0.67175165898186,1,11.0174364351153,279.84288545193,282.801907783634
1,0.687917482537448,1,11.012135373491,279.708238486673,282.613495611617
1,0.699950214540303,1,10.9944370083869,279.258700013026,282.52141949874
1,0.715739237978578,1,11.0065116487533,279.565395878333,282.340306515464
1,0.715739237978578,1,10.9963812003106,279.308082487889,282.340994353436
1,0.727244492056727,1,11.0258819954455,280.057402684315,282.278126916457
0.479441013690829,0.730976472293198,0,11.0925559278935,281.750920568495,282.180971889056
0.416575679302214,0.732545741412282,0,11.1578828885078,283.410225368099,282.140709525815
1,0.74553303997004,1,11.0231868784577,279.988946712825,282.038260411006
1,0.76191548194021,1,11.002029564777,279.451550945336,281.840024792179
1,0.78191548194021,1,11.0240105493873,280.009867954438,281.753006732189
1,0.792852262278438,1,11.0086494385451,279.619695739046,281.69560087176
1,0.809474014679968,1,11.0108294678718,279.675068483943,281.494966760732
1,0.827821510210812,1,11.022175476262,279.963257097054,281.256671434566
1,0.841340979974925,1,11.0147729977787,279.775234143578,281.1387614626
1,0.857733043172479,1,11.0235189281344,279.997380774615,280.950576384402
0.263774161964655,0.858367786049306,0,11.309676523611,287.265783699718,280.933484743284
1,0.870990698219716,1,11.0146427592129,279.771926084006,280.837107556917
