Rewardlist,ButtonData,Zposition(Inches),Zposition(mm)
-1.7042774965196852,0,11.273782305547595,286.3540705609089
-2,0,11.568185996884107,293.83192432085633
-2,0,11.57119204378128,293.9082779120445
-2,0,11.572810052630306,293.94937533680974
-2,0,11.57344012569189,293.965379192574
-2,0,11.5768673946172,294.05243182327683
-2,0,11.571260096365213,293.9100064476764
-2,0,11.575277545458079,294.0120496546352
-2,0,11.574077238675953,293.9815618623692
-2,0,11.569920164453984,293.8759721771312
-2,0,11.576692569875718,294.04799127484324
-2,0,11.5792539283365,294.1130497797471
-2,0,11.577111445263029,294.0586307096809
-2,0,11.579444006243348,294.117877758581
-2,0,11.58208867045343,294.1850522295171
-2,0,11.576623343971372,294.04623293687285
-2,0,11.576570544552803,294.04489183164117
-2,0,11.57917766250968,294.11111262774585
-2,0,11.5740537722677,293.9809658155996
-2,0,11.57927152814269,294.1134968148243
