Rewardlist,,ButtonData,Zposition(Inches),Zposition(mm),,,,,
0.640362858772278,0.640362858772278,0,11.3046101260692,287.137097202157,287.137097202157,,,,
0.564540266990662,0.60245156288147,0,11.3021226867944,287.073916244578,287.105506723368,,,,
0.03930701315403,0.414736712972323,0,11.401202555719,289.590544915263,287.933852787333,,,,
0.139607295393944,0.345954358577728,0,11.3063595468044,287.181532488832,287.745772712707,,,,
-0.005481689237058,0.275667149014771,0,11.3736682455957,288.891173438131,287.974852857792,,,,
0.004964605905116,0.230550058496495,0,11.3745517558664,288.913614599007,288.131313147995,,,,
0.505684614181519,0.269854995022927,0,11.3761979244053,288.955427279895,288.249043738266,,,,
-0.045765906572342,0.230402382323519,0,11.4261391344488,290.223934014999,288.495905022858,,, ,
0.166156023740768,0.223263898036546,0,11.3619784543246,288.594252739845,288.506832546967,,,, 
0.164836868643761,0.217421195097268,0,11.4354400453597,290.460177152137,288.702167007484,,,,
0.130637317895889,0.209531751715324,0,11.2991975990057,286.999619014745,288.547389917235,,,,
0.03445565700531,0.194942077156156,0,11.4292167538911,290.302105548834,288.693616219869,,,,
0.026721864938736,0.182002060831739,0,11.3881974722654,289.26021579554,288.737200802613,,,,
-0.022089764475823,0.167424073309771,0,11.3685044624597,288.760013346476,288.738830270031,,,,
0.711002886295319,0.203662660842141,0,11.3539459027797,288.390225930604,288.715589980736,,,,
0.498521596193314,0.222091344301589,0,11.3178029407889,287.472194696037,288.637877775442,,,,
-0.029836088418961,0.207272083553321,0,11.3962147706449,289.46385517438,288.686464681262,,,,
-0.091193921864033,0.190690638807913,0,11.4764299939752,291.501321846969,288.842845634913,,,,
0.014550388790667,0.181420099333321,0,11.4370252012372,290.500440111425,288.930087449466,,,,
-0.116016834974289,0.16654825261794,0,11.3918042592138,289.351828184031,288.951174486194,,,,
0.04813551530242,0.160909550841011,0,11.3986458905399,289.525605619713,288.978528349695,,,,
0.091693416237831,0.157763362904503,0,11.477285344556,291.523047751722,289.094188322515,,,,
-0.073084354400635,0.147726505630366,0,11.3726732698858,288.865901055099,289.084262789149,,,,
-0.034145444631577,0.140148507702785,0,11.4414380593091,290.612526706452,289.14794045237,,,,
0.037470191717148,0.13604137506336,0,11.2638536682159,286.101883172683,289.026098161182,,,,
-0.004016458056867,0.130654535327966,0,11.5207369193971,292.626717752687,289.164583530086,,,,
-0.101271100342274,0.122064696969809,0,11.4597242579401,291.076996151677,289.235413627182,,,,
-0.019832611083984,0.116996935967888,0,11.3788625350624,289.023108390586,289.227831297304,,,,
0.036150813102722,0.11420913862771,0,11.5276313501418,292.801836293601,289.3510728489,,,,
-0.084580421447754,0.107582819958528,0,11.4167208914965,289.984710644012,289.372194108737,,,,
-0.570028007030487,0.085724406184689,0,11.447818575713,290.774591823111,289.417432744685,,,,
-0.488797843456268,0.067770585883409,0,11.4623853486359,291.144587855352,289.471406341893,,,,
-0.125256448984146,0.061921281796513,0,11.4474665795892,290.765651121567,289.510625880671,,,,
-0.01512339618057,0.059655261856011,0,11.4262118803144,290.225781759984,289.531659877122,,,,
-0.016029134392738,0.057492850534618,0,11.4077543769032,289.756961173341,289.538097057013,,,,
0.206970393657684,0.061645004510259,0,11.30208162058,287.072873162731,289.469618615506,,,,
-0.068127617239952,0.058137636354848,0,11.219296825546,284.970139368869,289.348011068299,,,,
-0.097064703702927,0.054053364248064,0,11.3766742924929,288.967527029319,289.337998330431,,,,
0.274333715438843,0.059701578381161,0,11.1641026600152,283.568207564387,289.190054977456,,,,
-0.008673205040395,0.057992208795622,0,11.4544525293261,290.943094244882,289.233880959142,,,,
0.206284001469612,0.061609081787671,0,11.2466563109279,285.665070297568,289.146836796664,,,,
-0.024232879281044,0.059565225571749,0,11.3574822905034,288.480050178786,289.13096092481,,,,
0.230770841240883,0.063546751517543,0,11.3935701064348,289.396680703444,289.137140454546,,,,
-0.162004768848419,0.058420580600134,0,11.3956586167693,289.449728865941,289.144244736623,,,,
0.102602571249008,0.059402402614554,0,11.3768174375832,288.971162914613,289.140398473911,,,,
0.036951303482056,0.058914335242108,0,11.3701987371355,288.803047923242,289.133064766288,,,,
0.003298641182482,0.057731022602542,0,11.4632254460514,291.165926329705,289.176317139978,,,,
-0.113026052713394,0.05417358353346,0,11.5235388085425,292.697885736979,289.249683152415,,,,
0.372327476739883,0.060666520129509,0,11.310851017344,287.295615840538,289.209804227683,,,,
0.100544765591621,0.061464085038751,0,11.4646651101977,291.202493799021,289.24965801911,,,,
0.319641768932343,0.055049663241953,0,11.1128731441587,282.266977861632,289.152255632299,,,,
-0.087929040193558,0.042000277098268,0,11.3477331711948,288.232422548348,289.175425758375,,,,
1,0.061214136835188,1,11.029938164112,280.160429368444,288.986823447439,,,,
0.560330808162689,0.069628607090563,0,11.085229715237,281.56483476702,288.874489493002,,,,
0.780631422996521,0.085350869335234,0,11.0662230978727,281.082066685967,288.718307357959,,,,
1,0.105251577217132,1,11.0234086360157,279.994579354798,288.539926653075,,,,
1,0.115137884933501,0,11.2802003682047,286.5170893524,288.491159894525,,,,
1,0.136053203064948,1,11.0244669710279,280.021461064107,288.287110435507,,,,
0.629272699356079,0.145315536577255,0,11.2252021471828,285.120134538444,288.217628071479,,,,
0.962285876274109,0.161264516729861,1,11.0279822389841,280.110748870196,288.01063950584,,,,
0.16326616704464,0.161917093712837,1,11.0268535047472,280.082079020578,287.872288705957,,,,
1,0.18122798057273,1,11.0320255011261,280.213447728602,287.670515549552,,,,
0.475171327590942,0.190196969825774,0,11.0548418898702,280.792984002702,287.501170913695,,,,
