Rewardlist,,ButtonData,Zposition(Inches),Zposition(mm),,,,,,,
0.08767569065094,0.08767569065094,0,12.1288207831293,308.072047891485,308.072047891485,,,,,,
0.542747378349304,0.315211534500122,0,11.9634283644438,303.871080456872,305.971564174179,,,,,,
0.3393434882164,0.323255519072215,0,12.124520563817,307.962822320952,306.63531688977,,,,,,
0.690132081508637,0.41497465968132,0,12.1257126573563,307.993101496849,306.974763041539,,,,,,
0.293642252683639,0.390708178281784,0,12.1318948826104,308.150130018305,307.209836436893,,,,,,
0.56628030538559,0.419970199465752,0,12.1259578813225,307.999330185592,307.341418728342,,,,,,
0.436283946037293,0.422300734690258,0,12.1776989648789,309.313553707924,307.623152296854,,,,,,
0.621595978736877,0.447212640196085,0,12.079482659778,306.818859558361,307.522615704542,,,,,,
1,0.508633457952076,0,12.0681659843981,306.531416003712,307.41248240445,,,,,,
0.762106895446777,0.533980801701546,0,12.1775863261193,309.31069268343,307.602303432348,,,,,, 
0.307272017002106,0.513370912183415,0,12.1564524788469,308.773892962711,307.708811571472,,,,,,
0.020250253379345,0.472277523949742,0,12.0524657839566,306.132630912499,307.577463183224,,,,,,
0.237583339214325,0.454224125123941,0,12.1992223545283,309.860247805019,307.753062000285,,,,,,
0.194487810134888,0.435671531196152,0,12.1909903385133,309.651154598237,307.888640042996,,,,,,
0.017716735601425,0.407807878156503,0,12.226831757158,310.561526631814,308.066832482251,,,,,,
0.622465252876282,0.421223964076489,0,12.1778421099693,309.317189593219,308.144979801686,,,,,,
0.712392389774323,0.438351518529303,0,12.1897466188759,309.619564119447,308.231720055672,,,,,,
-0.064601689577103,0.410409673634503,0,12.2243196781546,310.497719825126,308.357608931753,,,,,,
0.685749292373657,0.424901232515511,0,12.1336806762785,308.195489177473,308.349076313107,,,,,,
0.509157180786133,0.429114029929042,0,12.3071877789378,312.60256958502,308.561750976702,,,,,,
0.598081111907959,0.437160081451848,0,12.223024332419,310.464818043444,308.652373217976,,,,,,
0.086393475532532,0.421216144819151,0,12.2894577341825,312.152226448235,308.811457455715,,,,,,
-0.072641089558601,0.399744091150553,0,12.288134228757,312.118609410428,308.955246671137,,,,,,
0.052400946617127,0.385271460128327,0,12.274818215394,311.780382671008,309.072960671132,,,,,,
0.558837711811066,0.392214110195637,0,12.2245977550924,310.504782979346,309.13023356346,,,,,,
0.079861789941788,0.380200559416643,0,12.3001502031028,312.423815158812,309.256909778666,,,,,,
0.007960588671267,0.366413893833481,0,12.2361842941672,310.799081071846,309.314027233969,,,,,,
0.409517198801041,0.367953297582322,0,12.2739370517641,311.758001114809,309.401312015428,,,,,,
0.690614521503449,0.37907954668305,0,12.2162284605891,310.292202898962,309.432032390722,,,,,,
1,0.399776895126949,0,12.3805684108645,314.466437635958,309.599845898896,,,,,,
0.439040064811707,0.401043448987747,0,12.3003203345627,312.428136497892,309.691081079509,,,,,,
-0.017096996307373,0.387976560072275,0,12.2827745011121,311.982472328247,309.762687056032,,,,,,
-0.078886419534683,0.373829197053882,0,12.2847034398705,312.03146737271,309.83143797472,,,,,,
-0.097462527453899,0.35996767574483,0,12.2390800489455,310.872633243217,309.862061364969,,,,,,
0.28673043847084,0.357875183251287,0,12.0291061478615,305.539296155682,309.738553787561,,,,,,
0.361343324184418,0.35797152049943,0,12.0257492781609,305.454031665288,309.619539284165,,,,,,
0.132032930850983,0.351865072130553,0,12.2456095770419,311.038483256863,309.657889121265,,,,,,
0.268305540084839,0.349666137076718,0,12.371999651891,314.248791158031,309.778702332759,,,,,,
1,0.366341364331161,1,11.9209670720309,302.792563629585,309.599570571139,,,,,,
0.674768686294556,0.374052047380246,0,11.9328891807437,303.09538519089,309.436965936633,,,,,,
0.340533137321472,0.373234512988569,0,12.0930309905827,307.162987160801,309.381503039661,,,,,,
0.990680456161499,0.387935606873639,1,11.9171150611162,302.694722552352,309.222293980439,,,,,,
1,0.40216966252774,1,11.9222882308155,302.826121062714,309.07354577305,,,,,,
0.92205822467804,0.41398531166752,1,11.9290723694414,302.998438183811,308.935475146022,,,,,,
0.129806607961655,0.407670229362945,0,12.225952940169,310.539204680292,308.971113580117,,,,,,
0.077044561505318,0.400482714844301,0,11.9469608124524,303.452804636292,308.851150342208,,,,,,
0.930266499519348,0.411754710262919,1,11.8879240225703,301.953270173284,308.704386934358,,,,,,
0.884322047233581,0.421599863116474,1,11.9009443591893,302.283986723407,308.57062859663,,,,,,
0.582937300205231,0.424892463873388,0,11.9962789893568,304.705486329662,308.491748142202,,,,,,
0.156234860420227,0.426291630603373,0,12.2499931021035,311.149824793428,308.554559915711,,,,,,
1,0.43562331675951,1,11.8968330444634,302.17955932937,308.520039076375,,,,,,
0.904959917068481,0.447166509185062,1,11.8879111160457,301.952942347561,308.397388464673,,,,,,
0.885112524032593,0.451145701889633,1,11.8893918464065,301.990552898724,308.274887472874,,,,,,
1,0.465561166120579,1,11.902297197625,302.318348819676,308.155871530045,,,,,,
1,0.474412588459649,1,11.9040313651949,302.362396675951,308.040832070665,,,,,,
0.525283455848694,0.476228904986412,0,11.9594273418367,303.769454482652,307.927687188516,,,,,,
0.434934556484222,0.472419488205746,0,12.003044354856,304.877326613343,307.888064067189,,,,,,
0.818921566009522,0.468724009961042,1,11.8915613158494,302.045657422575,307.796517973697,,,,,,
0.275257110595703,0.458788300066122,0,12.0574688221961,306.259708083782,307.734252981867,,,,,,
0.96028071641922,0.472115008217492,1,11.9167302120209,302.68494738533,307.609988786411,,,,,,
0.835943758487701,0.488761814444193,1,11.9102875096351,302.521302744731,307.536288211558,,,,,,
1,0.504321338133696,1,11.9280351541966,302.972092916594,307.395713621998,,,,,,
0.947564959526062,0.519690259549843,1,11.9238827732563,302.86662244071,307.257253782049,,,,,,
1,0.539736856782467,1,11.9042883223653,302.368923388078,307.090057797483,,,,,,
0.92699384689331,0.54595172604812,1,11.9179422520071,302.715733200981,306.955334197641,,,,,,
0.779021739959717,0.547311508704965,1,11.9044396806985,302.372767889742,306.807440397035,,,,,,
0.486212015151978,0.558552604719844,0,12.0387496683329,305.784241575657,306.711246963372,,,,,,
0.912225186824799,0.56317456174946,1,11.9077238045335,302.45618463515,306.594118299243,,,,,,
0.794879794120789,0.569005635490983,1,11.9323999061316,303.082957615743,306.399840503952,,,,,,
0.477824419736862,0.56655141728341,0,12.0003551044703,304.809019653544,306.284416047015,,,,,,
1,0.585196448394991,1,11.9285267754495,302.984580096418,306.097321223509,,,,,,
1,0.607087082875778,1,11.9150230308205,302.64158498284,305.903912561721,,,,,,
1,0.626425839067266,1,11.911020834893,302.539929206282,305.715331878768,,,,,,
0.45127663050592,0.624230714958997,1,11.9285302954108,302.984669503433,305.561860175177,,,,,,
0.599930584430695,0.634844363826118,1,11.9171584739715,302.695825238876,305.363329768648,,,,,,
1,0.655090066098133,1,11.9081168668717,302.466168418542,305.193270326744,,,,,,
0.844346344470978,0.663964130295479,1,11.9121237560809,302.567943404454,305.005718128573,,,,,,
0.992129683494568,0.670117500948359,1,11.9143765312731,302.625163894337,304.849247944806,,,,,,
0.562642812728882,0.661191844065275,1,11.9272537228018,302.952244559166,304.614264412626,,,,,,
1,0.672640006007893,1,11.9263162397921,302.92843249072,304.420392902276,,,,,,
0.637824892997742,0.686005758850854,1,11.9254773156971,302.907123818706,304.235181708204,,,,,,
0.256702065467834,0.692854503442742,1,11.930749044311,303.041025725501,304.05170330724,,,,,,
0.807381927967072,0.71132071681868,1,11.9324022527725,303.08301722042,303.892731551673,,,,,,
1,0.725877238482541,1,11.9333021895289,303.105875614035,303.843069907966,,,,,,
1,0.738911048193063,1,11.9117799732,302.559211319279,303.783991941721,,,,,,
0.879328846931458,0.75416198525593,1,11.9020097341239,302.311047246748,303.605881002739,,,,,,
0.45590185957253,0.757990481572005,1,11.9245198862404,302.882805110505,303.37392210381,,,,,,
1,0.757990481572005,1,11.9273428951532,302.95450953689,303.377227122326,,,,,,
0.975239038467407,0.764122529575533,1,11.930896882683,303.044780820149,303.376194380066,,,,,,
0.735328793525696,0.772179583783782,1,11.9256216341078,302.910789506339,303.289414836098,,,,,,
0.760637640953064,0.767484832452998,1,11.9301330510944,303.025379497798,303.296162937025,,,,,,
1,0.767484832452998,1,11.9220183671206,302.819266524864,303.296023048497,,,,,,
0.898050665855408,0.766994882272944,1,11.9244002075583,302.87976527198,303.293601152338,,,,,,
0.694665610790253,0.778522617024548,0,11.9281806459278,302.975788406566,303.13924571818,,,,,,
