Rewardlist,,ButtonData,Zposition(Inches),Zposition(mm),
0.302791758966446,0.302791758966446,0,11.2698728019327,286.25476916909,286.25476916909
0.418491711536051,0.360641735251249,0,11.1560243489742,283.363018463945,284.808893816518
0.147387816953659,0.289557095818719,0,11.4275952250808,290.260918717054,286.62623545003
0.288106480681897,0.289194442034513,0,11.286428352955,286.675280165057,286.638496628786
0.384269475060702,0.308209448639751,0,11.1896927782148,284.218196566656,286.15443661636
0.182439590960742,0.287247805693249,0,11.3929013137996,289.37969337051,286.691979408719
0.333630139371753,0.293873853361607,0,11.2393594312817,285.479729554555,286.518800858124
0.258548192846774,0.289458145797253,0,11.3145551898867,287.389701823122,286.627663478749
0.182999264797569,0.277629381241733,0,11.3918171657383,289.352156009754,286.930384871083
0.350628032189608,0.28492924633652,0,11.2233142746389,285.072182575828,286.744564641557
0.2666570102185,0.283268133962155,0,11.3086158419579,287.238842385731,286.789498981937
0.3972135458529,0.29276358495305,0,11.1757173587799,283.86322091301,286.545642476193
0.243292680841684,0.288958130790637,0,11.3321479561538,287.836558086305,286.64494367697
0.306146282026171,0.29018585587889,0,11.2674581085235,286.193435956497,286.612693125508
0.305393010321259,0.291199666175048,0,11.2688567064554,286.228960343966,286.587110940072
0.251589229479432,0.288724013881572,0,11.3203830723763,287.537730038357,286.646524633715
0.102996412461996,0.277798860856891,0,11.4716475399733,291.379847515321,286.924955391456
0.502115430665016,0.290260892512898,0,11.0728523582041,281.250449898385,286.609705086286
0.299799791914225,0.29076293984981,0,11.2750236785442,286.385601435022,286.597910157272
0.165326712742448,0.284491128494442,0,11.4104060810357,289.824314458308,286.759230372324
0.358581971266865,0.288019263864557,0,11.2175391915679,284.925495465825,286.67190966249
0.452688134962321,0.295504212550819,0,11.1194132321388,282.433096096324,286.479236318574
0.405965342810751,0.300306870388207,0,11.1669632151812,283.640865665603,286.355828898879
0.299207265105842,0.300261053501442,0,11.2747174419165,286.377823024678,286.356745320788
0.48747239191532,0.307749507037997,0,11.0882686151058,281.642022823686,286.168156420903
0.080617672231794,0.299013667237759,0,11.4925725362122,291.91134241979,286.389048190091
0.297651442238688,0.298963214460015,0,11.2769760837108,286.435192526254,286.390757239579
0.205375658386947,0.29562080174312,0,11.3687801927567,288.767016896019,286.47562365588
0.17871781861186,0.291589664393766,0,11.3947094005555,289.425618774109,286.577347625474
0.305017547789216,0.292037260506948,0,11.2693389411449,286.241209105082,286.566143008128
0.157168615913392,0.287686659068446,0,11.4178813053846,290.01418515677,286.677370174213
0.10687540974617,0.282036307527125,0,11.4675925446272,291.276850633531,286.821103938567
0.196112293729186,0.279432549533248,0,11.3791406120002,289.030171544806,286.88804538118
0.247459141626955,0.278492155183063,0,11.3282478391021,287.737495113195,286.913029196828
0.17604264807105,0.275565026408434,0,11.3980944299459,289.511598520627,286.987274034651
0.195506860396266,0.273341188463651,0,11.3799478564441,289.050675553681,287.044590743512
0.295788209423424,0.273947864705808,0,11.2757030310631,286.402856989002,287.027246587985
0.163415373790263,0.271039114944872,0,11.4106243186325,289.829857693265,287.100999511808
0.22101132620573,0.269756351131048,0,11.3503919152498,288.299954647346,287.131741951181
0.387132376867532,0.27269075177446,0,11.1848410983086,284.094963897037,287.055822499828
0.234991438922286,0.271771256339041,0,11.3374795241088,287.971979912363,287.078167802572
0.278297522032261,0.271926643617451,0,11.2952611090213,286.899632169141,287.073916954157
0.299267104446887,0.272562468287903,0,11.2762122521222,286.415791203903,287.058611704151
0.154093343111873,0.269869988170266,0,11.4215596648783,290.107615487907,287.127907244691
0.188046889212727,0.268051697082321,0,11.384804229632,289.174027432653,287.173376582201
0.218141384476423,0.26696669028654,0,11.3560520129204,288.443721128178,287.200992767984
0.227515041252969,0.266127293498592,0,11.3466513697743,288.204944792268,287.222353449351
0.313389188933373,0.26711191632015,0,11.2615692133725,286.043858019661,287.197801461233
0.302181632351875,0.267827624810593,0,11.2732988975376,286.341791997455,287.180331880339
0.005245915564895,0.262575990625679,0,11.5697711527616,293.872187280144,287.314168988335
0.255498733094335,0.261630130108237,0,11.3189082086176,287.500268498886,287.339078974931
0.225817246615888,0.257776640809834,0,11.3477261312723,288.232243734317,287.436463480339
0.178856270420551,0.258406009879172,0,11.3969445759416,289.482392228916,287.420892950576
0.249713090139627,0.257638142068326,0,11.3236132234722,287.619775876195,287.439782864799
0.196481889659166,0.253882390360296,0,11.3776763081253,288.992978226382,287.535278497993
0.14602207199335,0.253154039980948,0,11.4270777907789,290.247775885783,287.552640148299
1,0.266481437193513,1,11.0267713723183,280.079992856884,287.444645414345
0.19282464993298,0.265166966335237,0,11.3807328078002,289.070613318124,287.478263644245
1,0.281506981039286,1,11.0286627648234,280.128034226515,287.293781208581
0.435402778643368,0.283202475968361,0,11.1379880675912,282.904896916816,287.2504354954
0.35872628967762,0.285043861557543,0,11.21606667445,284.888093531031,287.203420518306
0.455566289934517,0.286210916439175,0,11.117147550422,282.375547780718,287.173667055661
0.338148596280813,0.288108034747958,0,11.234526524502,285.356973722352,287.124075368382
0.350771177279949,0.289000532653034,0,11.2208057155967,285.008465176156,287.100375952775
0.273664079722762,0.288365954041064,0,11.298461927107,286.980932948517,287.115415404866
0.248134974184632,0.288296868935168,0,11.3251150736004,287.65792286945,287.117819261488
0.249140509778261,0.291219750881493,0,11.3242339099705,287.635541313251,287.042933137446
1,0.301177442268193,1,11.0376633057088,280.356647965003,287.025057098779
0.353725598078967,0.302255958391487,0,11.2176013775498,284.927074989764,286.995886569873
