Episode,Timestep,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
196,12,1,0.6,36,2219,76,92
197,23,1,0.43,36,2232,76,93
198,14,1,-0.03,36,2236,76,94
199,14,1,0.46,36,2240,76,95
201,12,0,0.85,36,2263,77,95
201,16,0,0.73,36,2266,78,95
202,12,1,0.22,36,2282,78,96
205,10,0,0.9,38,2292,79,96
205,18,1,0.55,38,2299,79,97
207,25,1,0.35,39,2316,79,98
209,20,0,0.79,39,2347,80,98
209,21,0,0.8,39,2347,81,98
209,23,0,0.83,39,2348,82,98
214,13,1,0.05,39,2442,82,99
216,12,1,0.69,39,2465,82,100
217,10,0,0.76,39,2465,83,100
217,14,1,0.49,39,2468,83,101
218,19,0,0.76,39,2477,84,101
218,20,0,0.77,39,2477,85,101
218,28,1,0.58,39,2484,85,102
219,15,1,0.27,39,2489,85,103
221,12,1,0.62,39,2512,85,104
222,10,0,0.75,39,2512,86,104
222,11,0,0.8,39,2512,87,104
222,12,1,0.5,39,2512,87,105
223,30,1,0.4,39,2532,87,106
224,16,0,0.71,39,2538,88,106
226,12,0,0.7,39,2575,89,106
226,15,1,0.69,39,2577,89,107
227,28,1,0.51,39,2595,89,108
228,30,1,0.31,39,2615,89,109
230,13,0,0.83,39,2639,90,109
230,20,1,-0.03,39,2645,90,110
233,15,1,0.48,41,2660,90,111
238,13,1,0.63,43,2709,90,112
239,13,1,0.57,43,2712,90,113
241,13,1,0.48,43,2736,90,114
243,12,0,0.78,44,2740,91,114
243,13,1,0.51,44,2740,91,115
245,18,1,0.66,44,2769,91,116
246,23,1,0.69,44,2782,91,117
248,18,1,-0.12,45,2805,91,118
250,18,1,0.34,45,2834,91,119
253,13,1,0.7,46,2860,91,120
254,30,0,0.72,46,2880,92,120
255,12,1,0.15,46,2882,92,121
256,29,1,0.35,46,2901,92,122
257,18,0,0.78,46,2909,93,122
257,29,1,0.02,46,2919,93,123
260,14,0,0.79,46,2965,94,123
261,14,1,0.53,46,2985,94,124
262,12,1,0.59,46,2987,94,125
263,13,1,0.47,46,2990,94,126
264,11,0,0.72,46,2991,95,126
264,12,0,0.79,46,2991,96,126
264,15,1,0.33,46,2993,96,127
265,13,1,0.57,46,2996,96,128
270,29,1,0.32,48,3062,96,129
271,15,1,0.42,48,3067,96,130
272,18,0,0.79,48,3075,97,130
272,21,1,0.65,48,3077,97,131
273,11,0,0.71,48,3078,98,131
274,12,1,0.48,48,3099,98,132
276,30,1,0.53,49,3135,98,133
277,13,0,0.74,49,3138,99,133
277,19,1,0.54,49,3143,99,134
279,12,1,0.59,49,3166,99,135
281,21,1,0.56,50,3179,99,136
283,11,0,0.75,51,3195,100,136
283,12,0,0.77,51,3195,101,136
283,13,0,0.76,51,3195,102,136
283,14,0,0.81,51,3195,103,136
283,15,0,0.78,51,3195,104,136
284,24,1,0.68,51,3224,104,137
285,12,1,0.38,51,3226,104,138
287,12,1,0.37,52,3233,104,139
288,10,0,0.75,52,3233,105,139
289,12,1,0.11,53,3242,105,140
291,21,1,0.6,53,3274,105,141
296,13,1,0.52,57,3288,105,142
297,17,1,0.6,57,3295,105,143
298,12,1,0.43,57,3297,105,144
299,12,1,0.6,57,3299,105,145
300,13,1,0.63,57,3302,105,146
301,10,0,0.71,57,3302,106,146
301,28,1,0.34,57,3319,106,147
302,12,0,0.82,57,3321,107,147
302,29,1,0.0,57,3337,107,148
303,10,0,0.75,57,3337,108,148
303,12,1,0.65,57,3338,108,149
305,12,1,0.47,57,3361,108,150
309,22,0,0.71,58,3417,109,150
310,15,1,0.7,58,3430,109,151
311,14,0,0.94,58,3434,110,151
311,15,0,0.88,58,3434,111,151
311,16,0,0.86,58,3434,112,151
312,10,0,0.78,58,3448,113,151
312,22,1,0.13,58,3459,113,152
317,21,1,0.33,60,3516,113,153
318,22,1,0.4,60,3528,113,154
320,11,0,0.7,61,3531,114,154
320,15,1,0.44,61,3534,114,155
321,12,1,0.47,61,3536,114,156
323,15,1,0.47,61,3562,114,157
324,17,1,0.63,61,3569,114,158
326,10,0,0.73,61,3590,115,158
326,23,1,0.23,61,3602,115,159
328,25,1,0.38,62,3620,115,160
329,10,0,0.77,62,3620,116,160
329,11,0,0.74,62,3620,117,160
329,12,0,0.74,62,3620,118,160
329,29,1,0.29,62,3636,118,161
331,12,1,0.27,62,3659,118,162
332,12,1,0.18,62,3661,118,163
334,10,0,0.78,62,3682,119,163
334,12,1,0.67,62,3683,119,164
335,24,1,0.35,62,3697,119,165
337,23,1,0.49,62,3731,119,166
339,12,0,0.73,62,3754,120,166
