Rewardlist
-1.4475127507001169
-1.7905188934892404
-1.839011052823066
-1.8615294181823732
-1.7987215764939783
-1.7761656648814679
-1.895656615704297
-1.8092251408278948
-1.899083884629606
-2
-1.9448562872469424
-1.8400318415820607
-1.8019787139594552
-1.8147538266122343
-1.7948355392873285
-1.8283901564478882
-2
-2
-2
-1.8920134558230632
-2
-1.8473122947424656
-1.9495519155383096
-2
-2
-2
-2
-2
-2
-2
-2
-2
-2
-1.6930992729485048
-1.692769569912553
-1.85358251902759
-1.7660058834284538
2
2
-1.533105301481486
2
2
2
2
-1.4718239496499308
2
2
2
2
-1.629162697023153
2
2
2
2
2
2
2
2
-1.5885317844539877
2
2
2
2
2
2
2
-1.4853394274830816
2
2
2
-1.5065906067967418
2
2
2
2
2
2
2
2
2
-1.4456811975359916
2
2
2
2
2
2
2
2
2
-1.445399600636959
2
2
2
-1.4538627607733012
-1.5060297596395014
2
2
2
2
2
2
2
2
2
2
2
2
2
2
-1.4770346656024458
-1.8711295257985583
2
-1.5336896150469777
2
2
2
2
2
2
2
2
2
2
-1.4502395473390823
2
-1.4592295283406962
-1.649448233637214
-1.6587491445481781
-1.7125188990980398
2
-1.4470469424963
-1.7620776066869492
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
-1.4866359465390442
-1.451902142363787
-1.5021214293450118
-2
2
2
2
-1.7387062373876567
2
-1.5732070465445531
2
2
2
2
2
2
2
2
2
2
2
-1.7298547081947326
-1.7489481512695537
2
2
2
2
2
2
2
2
2
-1.5933318382620811
-1.669503799450398
-1.507918805503845
2
2
2
2
2
2
-1.4898836974412202
-1.5239921218365424
2
2
2
2
2
2
-1.4871545541614282
-1.6736878600418557
-1.641196271175147
-1.6561314667075866
-1.6173790401190526
-1.5064427684247494
2
-1.5013986639708286
2
2
2
2
-1.4769443199306735
2
2
2
-1.5072171598970883
-1.4615972889333975
2
2
2
-1.6609303471952686
2
2
2
2
-2
-1.8231794404953714
2
2
2
2
-1.578249977678059
2
2
2
-1.5882314144283534
2
2
2
2
-1.618435028490424
2
2
-1.5399786124587056
2
-1.6153515424460156
2
2
2
-2
-1.4661978782713412
-1.8521968276202685
2
2
2
2
2
2
-1.562963959342241
2
-1.7975388695180428
2
2
2
-1.5223952327549455
2
2
2
2
-1.6195649360477908
2
2
2
2
-1.662452143770457
2
2
2
2
2
2
-1.7015600864440206
2
2
2
2
2
2
2
2
2
2
2
2
2
-1.668847913339734
2
-1.4726699136674402
2
-1.5851948612004527
-1.7589248947381968
2
-1.7366670065104959
2
2
-1.5375134662717578
2
-1.6143929396688925
2
2
2
2
2
-1.4254167806893587
2
2
-1.4610481749802826
2
2
2
2
-1.5844873489916331
2
2
-1.5074506506592034
2
2
-1.485822835493087
2
-1.4886939505428085
-1.6001312300533055
2
-1.5954696280539036
2
2
2
2
2
-1.5624031121850024
2
-1.6863773203045138
2
2
-1.4555640753716226
-1.7343086324810972
-1.6678588042318818
-1.8516301138609652
-1.702632501301169
2
2
-1.5979007479488843
2
-1.7127641230642805
2
-1.611171001815796
-1.5756968324601637
-1.6206385242253543
2
2
2
2
-1.5536489685863266
2
2
2
2
-1.7917039471060043
-1.7531017055302858
-1.664788224712014
2
2
-1.8600123148888361
-1.5501829800873992
-1.6260416647255411
2
2
2
-1.4631143922269345
2
2
2
2
2
-1.5679177181243897
2
-1.4708981998443615
2
-1.5323168301641932
-1.8489960095345968
2
-1.477557966506481
2
-1.4809911020338546
2
2
2
2
2
-1.6619804689645772
2
-1.6088407874763018
2
2
2
-1.4845650360107427
2
-1.8404507169693716
2
2
-1.5271765134364372
-1.6760603139162065
-1.7034221459388732
-1.799019599878788
-1.5573683942943806
2
-1.4640753416448824
-1.5904255235999827
-1.6477950251758102
2
2
-1.500803790521621
2
2
2
-1.467371198683976
2
-1.6382441970169541
2
-1.823926845598221
2
-1.6055906899332992
-1.8725515901386736
2
2
2
2
2
2
2
-1.719436796250939
-1.5018902852237233
2
2
2
2
2
-1.5510183842211962
2
2
2
2
2
2
-1.6037520968466996
2
-2
-1.6900721062839033
2
2
2
-1.5716465303957463
2
-1.5182780514270071
2
-1.4725490616649406
2
2
2
2
2
2
2
2
2
2
2
2
2
2
2
-1.5255197850137936
2
2
-2
-1.783779341039061
2
-1.4791489889860152
2
2
-1.655773603981734
2
-1.6589204493284235
-1.8548790380835545
-1.5779836339443918
2
-1.754003988927602
-1.7151682565897701
2
2
-1.7375153171688318
-1.6723807811021807
-1.740863973626496
-1.566588346096875
-1.8525617302685973
2
-1.6091857436776174
2
-1.448977054575085
2
2
2
-1.4790034972548494
-1.5645326887339355
2
2
2
2
2
2
