Rewardlist,ButtonData,Zposition(Inches),Zposition(mm)
0.21225366264581602,0,12.167953365531565,309.06601548450175
0.30593156439065794,0,12.071010113078357,306.60365687219024
0.39217296136021496,0,11.987908521533013,304.4928764469385
1,1,11.896370756220819,302.1678172080088
0.1462954556494953,0,12.232887263807655,310.7153365007144
0.4035412628382442,0,11.97587964066267,304.18734287283183
0.3838963591694835,0,11.998471925207973,304.7611869002825
0.2917942267388103,0,12.088687358415127,307.0526589037442
0.24758116694986754,0,12.133623183578253,308.1940288628876
0.25370707282423943,0,12.126680646696688,308.01768842609584
1,1,11.913202037540078,302.59533175351794
1,1,11.89451573664844,302.1206997108704
1,1,11.906891920360923,302.4350547771674
1,1,11.916984822550416,302.69141449278055
1,1,11.896252250859142,302.1648071718222
1,1,11.897003175923228,302.18388066844994
1,1,11.892621997502447,302.07259873656216
1,1,11.890874923408031,302.02822305456397
1,1,11.907266209572553,302.44456172314284
1,1,11.914866979205609,302.63762127182247
1,1,11.897215546917916,302.18927489171506
1,1,11.904850342842936,302.38319870821056
1,1,11.896470488455892,302.1703504067796
1,1,11.905155406150222,302.3909473162156
1,1,11.904795196783542,302.381797998302
1,1,11.89605982631147,302.1599195883113
1,1,11.908874831858277,302.4854207292002
0.12635839519798786,0,12.25779098956585,311.34789113497254
1,1,11.892451866042615,302.0682773974824
1,1,11.882966743826866,301.8273552932024
1,1,11.88871953381002,301.9734761587745
1,1,11.890830337232352,302.0270905657017
1,1,11.90552852204144,302.40042445985256
1,1,11.894048755124212,302.10883838015496
1,1,11.885841378837824,301.9003710224807
1,1,11.894019422113896,302.10809332169293
1,1,11.898732650211453,302.2278093153709
1,1,11.89743495783508,302.194847929011
1,1,11.89044666145742,302.01734520101843
1,1,11.89394080964625,302.1060965650147
1,1,11.911550002399087,302.5533700609368
1,1,11.897000829282403,302.183821063773
1,1,11.892281734582783,302.06395605840265
1,1,11.889106729546189,301.9833109304732
1,1,11.888592815205454,301.9702575062185
1,1,11.88869254744053,301.97279070498945
1,1,11.888069514301419,301.956965663256
1,1,11.903960965970159,302.36060853564203
1,1,11.886142922183872,301.90803022347035
1,1,11.893534840783477,302.0957849559003
1,1,11.902734846138955,302.3294650919294
1,1,11.89229816106856,302.0643732911414
0.44118607495725115,0,11.934555295729638,303.1377045115328
0.14243640481233655,0,12.23756411897242,310.8341286218995
1,1,11.895163409516215,302.1371506017118
1,1,11.89295756714046,302.08112220536765
1,1,11.897318799114228,302.1918974975014
1,1,11.890084105449915,302.00813627842786
1,1,11.912444072553516,302.5760794428593
1,1,11.903968005892635,302.36078734967293
1,1,11.898270361968875,302.2160671940094
0.44275480434894554,0,11.937026308518648,303.20046823637364
1,1,11.902286637741328,302.3180805986297
1,1,11.900741374757887,302.2788309188503
1,1,11.897172134062648,302.1881722051913
1,1,11.910315669324994,302.5220180008548
1,1,11.919112052458525,302.7454461324465
1,1,11.90742460782826,302.4485850388378
1,1,11.900171141037346,302.26434698234857
1,1,11.89750653038025,302.19666587165835
1,1,11.905234018617868,302.39294407289384
1,1,11.895911987939478,302.15616449366274
1,1,11.926086268991233,302.9225912323773
1,1,11.925607554262877,302.91043187827705
1,1,11.906759335154295,302.43168711291906
1,1,11.909691462865473,302.506163156783
1,1,11.908148546522856,302.4669730816805
1,1,11.896782591685653,302.17827782881557
1,1,11.914139520549774,302.61914382196426
0.365034060215951,0,12.015327846255898,305.1893272948998
1,1,11.900175834318995,302.26446619170247
1,1,11.91527764135003,302.6480520902908
1,1,11.923598829716445,302.8594102747977
1,1,11.91248631208837,302.5771523270446
1,1,11.912082689866423,302.5669003226071
0.16891824652552678,0,12.21634813927114,310.29524273748694
0.4473964599013325,0,11.930764297476411,303.04141315590084
